region,dep_city,dep_date,dep_time,dep_time_slot,arr_city,arr_time,arr_time_slot,duration,nb_changes,train_name_1,train_name_2,standard_class_price,first_class_price
0,Paris,24-01-23,14:43,2,Nantes,17:52,3,11340,1,TGV Inoui,SNCF,69,158
0,Paris,24-01-23,15:39,2,Nantes,17:54,3,8100,0,TGV Inoui,,42,106
0,Paris,24-01-23,16:39,3,Nantes,18:54,3,8100,0,TGV Inoui,,58,106
0,Paris,24-01-23,16:56,3,Nantes,19:53,3,10620,1,TGV Inoui,SNCF,86,0
0,Paris,24-01-23,17:23,3,Nantes,19:20,3,7020,0,TGV Inoui,,95,113
0,Paris,24-01-23,17:51,3,Nantes,19:54,3,7380,0,TGV Inoui,,95,99
0,Paris,24-01-23,17:59,3,Nantes,20:52,4,10380,1,TGV Inoui,SNCF,113,0
0,Paris,24-01-23,18:11,3,Nantes,22:15,4,14640,0,Ouigo Classique,,13,0
0,Paris,24-01-23,18:11,3,Nantes,23:09,4,17880,1,Ouigo Classique,TGV Inoui,36,38
0,Paris,24-01-23,18:23,3,Nantes,20:19,4,6960,0,TGV Inoui,,95,99
0,Paris,24-01-23,18:51,3,Nantes,20:59,4,7680,0,TGV Inoui,,54,58
0,Paris,24-01-23,19:39,3,Nantes,21:54,4,8100,0,TGV Inoui,,95,99
0,Paris,24-01-23,21:45,4,Nantes,0:16,4,9060,0,TGV Inoui,,35,39
0,Paris,25-01-23,6:32,1,Nantes,8:54,1,8520,0,TGV Inoui,,35,66
0,Paris,25-01-23,6:48,1,Nantes,9:52,1,11040,1,Ouigo,SNCF,37,58.4
0,Paris,25-01-23,6:59,1,Nantes,9:52,1,10380,1,TGV Inoui,SNCF,53,94.4
0,Paris,25-01-23,7:18,1,Nantes,11:02,1,13440,0,Ouigo Classique,,16,0
0,Paris,25-01-23,7:48,1,Nantes,9:54,1,7560,0,TGV Inoui,,46,54
0,Paris,25-01-23,8:43,1,Nantes,12:52,2,14940,1,TGV Inoui,SNCF,69,102.4
0,Paris,25-01-23,9:39,1,Nantes,11:54,1,8100,0,TGV Inoui,,35,0
0,Paris,25-01-23,9:58,1,Nantes,13:44,2,13560,2,TGV Inoui,SNCF,61,106.4
0,Paris,25-01-23,10:39,1,Nantes,12:54,2,8100,0,TGV Inoui,,38,46
0,Paris,25-01-23,10:56,1,Nantes,13:52,2,10560,1,TGV Inoui,SNCF,53,77
0,Paris,25-01-23,12:23,2,Nantes,14:19,2,6960,0,TGV Inoui,,35,70
0,Paris,25-01-23,12:42,2,Nantes,17:01,3,15540,0,Ouigo Classique,,16,0
0,Paris,25-01-23,12:47,2,Nantes,17:17,3,16200,1,Ouigo,SNCF,47,68.4
0,Paris,25-01-23,12:52,2,Nantes,14:54,2,7320,0,TGV Inoui,,35,50
0,Paris,25-01-23,12:59,2,Nantes,17:17,3,15480,1,TGV Inoui,SNCF,53,98.4
0,Paris,25-01-23,13:35,2,Nantes,15:54,2,8340,0,TGV Inoui,,46,89
0,Paris,25-01-23,14:43,2,Nantes,17:52,3,11340,1,TGV Inoui,SNCF,95,0
0,Paris,25-01-23,15:39,2,Nantes,17:54,3,8100,0,TGV Inoui,,95,134
0,Paris,25-01-23,15:48,2,Nantes,17:50,3,7320,0,Ouigo,,29,0
0,Paris,25-01-23,16:39,3,Nantes,18:54,3,8100,0,TGV Inoui,,95,134
0,Paris,25-01-23,16:56,3,Nantes,19:53,3,10620,1,TGV Inoui,SNCF,104,0
0,Paris,25-01-23,17:23,3,Nantes,19:20,3,7020,0,TGV Inoui,,95,134
0,Paris,25-01-23,17:51,3,Nantes,19:54,3,7380,0,TGV Inoui,,95,134
0,Paris,25-01-23,17:59,3,Nantes,20:52,4,10380,1,TGV Inoui,SNCF,113,0
0,Paris,25-01-23,18:11,3,Nantes,22:15,4,14640,0,Ouigo Classique,,16,0
0,Paris,25-01-23,18:11,3,Nantes,23:09,4,17880,1,Ouigo Classique,TGV Inoui,39,41
0,Paris,25-01-23,18:23,3,Nantes,20:19,4,6960,0,TGV Inoui,,95,134
0,Paris,25-01-23,18:51,3,Nantes,20:59,4,7680,0,TGV Inoui,,95,139
0,Paris,25-01-23,19:39,3,Nantes,21:54,4,8100,0,TGV Inoui,,95,99
0,Paris,25-01-23,21:45,4,Nantes,0:16,4,9060,0,TGV Inoui,,38,42
0,Paris,26-01-23,6:32,1,Nantes,8:54,1,8520,0,TGV Inoui,,35,39
0,Paris,26-01-23,6:48,1,Nantes,9:52,1,11040,1,Ouigo,SNCF,37,58.4
0,Paris,26-01-23,6:59,1,Nantes,9:52,1,10380,1,TGV Inoui,SNCF,53,86.4
0,Paris,26-01-23,7:18,1,Nantes,11:02,1,13440,0,Ouigo Classique,,10,0
0,Paris,26-01-23,7:44,1,Nantes,9:59,1,8100,0,Ouigo,,19,0
0,Paris,26-01-23,7:48,1,Nantes,9:54,1,7560,0,TGV Inoui,,50,54
0,Paris,26-01-23,8:00,1,Nantes,14:52,2,24720,1,BlablacarBus,SNCF,31.99,53.39
0,Paris,26-01-23,8:43,1,Nantes,12:52,2,14940,1,TGV Inoui,SNCF,69,106.4
0,Paris,26-01-23,9:39,1,Nantes,11:54,1,8100,0,TGV Inoui,,38,46
0,Paris,26-01-23,9:58,1,Nantes,13:44,2,13560,2,TGV Inoui,SNCF,65,98.4
0,Paris,26-01-23,10:00,1,Nantes,17:17,3,26220,1,BlablacarBus,SNCF,27.99,49.39
0,Paris,26-01-23,10:39,1,Nantes,12:54,2,8100,0,TGV Inoui,,42,50
0,Paris,26-01-23,10:56,1,Nantes,13:52,2,10560,1,TGV Inoui,SNCF,65,94.4
0,Paris,26-01-23,12:23,2,Nantes,14:19,2,6960,0,TGV Inoui,,38,46
0,Paris,26-01-23,12:42,2,Nantes,17:01,3,15540,0,Ouigo Classique,,16,0
0,Paris,26-01-23,12:47,2,Nantes,17:17,3,16200,1,Ouigo,SNCF,47,68.4
0,Paris,26-01-23,12:52,2,Nantes,14:54,2,7320,0,TGV Inoui,,42,50
0,Paris,26-01-23,12:59,2,Nantes,17:17,3,15480,1,TGV Inoui,SNCF,65,102.4
0,Paris,26-01-23,13:35,2,Nantes,15:54,2,8340,0,TGV Inoui,,46,106
0,Paris,26-01-23,14:43,2,Nantes,17:52,3,11340,1,TGV Inoui,SNCF,86,138
0,Paris,26-01-23,15:39,2,Nantes,17:54,3,8100,0,TGV Inoui,,50,134
0,Paris,26-01-23,16:39,3,Nantes,18:54,3,8100,0,TGV Inoui,,95,127
0,Paris,26-01-23,16:56,3,Nantes,19:53,3,10620,1,TGV Inoui,SNCF,113,0
0,Paris,26-01-23,17:15,3,Nantes,20:52,4,13020,1,TGV Inoui,SNCF,65,0
,,,,,,,,,,,,,
0,Paris,26-01-23,18:11,3,Nantes,22:15,4,14640,0,Ouigo Classique,,22,0
,,,,,,,,,,,,,
0,Paris,27-01-23,6:32,1,Nantes,8:54,1,8520,0,TGV Inoui,,35,39
0,Paris,27-01-23,6:48,1,Nantes,9:52,1,11040,1,Ouigo,SNCF,40,61.4
0,Paris,27-01-23,6:59,1,Nantes,9:52,1,10380,1,TGV Inoui,SNCF,73,138.4
0,Paris,27-01-23,7:00,1,Nantes,13:52,2,24720,1,BlablacarBus,SNCF,25.99,0
0,Paris,27-01-23,7:18,1,Nantes,11:02,1,13440,0,Ouigo Classique,,13,0
0,Paris,27-01-23,7:18,1,Nantes,11:19,1,14460,1,Ouigo Classique,TGV Inoui,33,37.5
0,Paris,27-01-23,7:31,1,Nantes,11:02,1,12660,1,TGV Inoui,Ouigo Classique,39,41
0,Paris,27-01-23,7:37,1,Nantes,11:19,1,13320,1,SNCF,TGV Inoui,50.5,70
0,Paris,27-01-23,7:48,1,Nantes,9:54,1,7560,0,TGV Inoui,,50,54
0,Paris,27-01-23,8:00,1,Nantes,14:52,2,24720,1,BlablacarBus,SNCF,25.99,47.39
0,Paris,27-01-23,8:43,1,Nantes,12:52,2,14940,1,TGV Inoui,SNCF,86,166.4
0,Paris,27-01-23,9:39,1,Nantes,11:54,1,8100,0,TGV Inoui,,46,139
0,Paris,27-01-23,9:58,1,Nantes,13:44,2,13560,2,TGV Inoui,SNCF,73,102.4
0,Paris,27-01-23,10:00,1,Nantes,16:52,3,24720,1,BlablacarBus,SNCF,25.99,47.39
0,Paris,27-01-23,10:06,1,Nantes,13:19,2,11580,1,TGV Inoui,TGV Inoui,65.5,69.5
0,Paris,27-01-23,10:39,1,Nantes,12:54,2,8100,0,TGV Inoui,,42,50
0,Paris,27-01-23,10:56,1,Nantes,13:52,2,10560,1,TGV Inoui,SNCF,86,145
0,Paris,27-01-23,11:30,1,Nantes,17:52,3,22920,1,BlablacarBus,SNCF,25.99,47.39
0,Paris,27-01-23,12:23,2,Nantes,14:19,2,6960,0,TGV Inoui,,46,70
0,Paris,27-01-23,12:31,2,Nantes,16:04,3,12780,1,TGV Inoui,SNCF,57,72
0,Paris,27-01-23,12:42,2,Nantes,17:01,3,15540,0,Ouigo Classique,,22,0
0,Paris,27-01-23,12:47,2,Nantes,16:52,3,14700,1,Ouigo,SNCF,63,84.4
0,Paris,27-01-23,12:52,2,Nantes,14:54,2,7320,0,TGV Inoui,,95,113
0,Paris,27-01-23,13:35,2,Nantes,15:54,2,8340,0,TGV Inoui,,66,99
0,Paris,27-01-23,13:56,2,Nantes,16:52,3,10560,1,TGV Inoui,SNCF,77,145.4
0,Paris,27-01-23,14:41,2,Nantes,17:52,3,11460,1,TGV Inoui,SNCF,86,120.4
